Euclidean | Truncating | Calculation | BTERN Quot | BTERN rem | INTEGER Quot | INTEGER rem
etrue | tfalse | -1 / 4 | -1 | 3 | 0 | -1
etrue | tfalse | -1 / 5 | -1 | 4 | 0 | -1
etrue | tfalse | -1 / 6 | -1 | 5 | 0 | -1
etrue | tfalse | -1 / 7 | -1 | 6 | 0 | -1
etrue | tfalse | -1 / 8 | -1 | 7 | 0 | -1
etrue | tfalse | -1 / 9 | -1 | 8 | 0 | -1
etrue | tfalse | -1 / 10 | -1 | 9 | 0 | -1
etrue | ttrue | 0 / 1 | 0 | 0 | 0 | 0
etrue | ttrue | 0 / 2 | 0 | 0 | 0 | 0
etrue | ttrue | 0 / 3 | 0 | 0 | 0 | 0
etrue | ttrue | 0 / 4 | 0 | 0 | 0 | 0
etrue | ttrue | 0 / 5 | 0 | 0 | 0 | 0
etrue | ttrue | 0 / 6 | 0 | 0 | 0 | 0
etrue | ttrue | 0 / 7 | 0 | 0 | 0 | 0
etrue | ttrue | 0 / 8 | 0 | 0 | 0 | 0
etrue | ttrue | 0 / 9 | 0 | 0 | 0 | 0
etrue | ttrue | 0 / 10 | 0 | 0 | 0 | 0
etrue | ttrue | 1 / 1 | 1 | 0 | 1 | 0
etrue | ttrue | 1 / 2 | 0 | 1 | 0 | 1
etrue | ttrue | 1 / 3 | 0 | 1 | 0 | 1
etrue | ttrue | 1 / 4 | 0 | 1 | 0 | 1
etrue | ttrue | 1 / 5 | 0 | 1 | 0 | 1
etrue | ttrue | 1 / 6 | 0 | 1 | 0 | 1
etrue | ttrue | 1 / 7 | 0 | 1 | 0 | 1
etrue | ttrue | 1 / 8 | 0 | 1 | 0 | 1
etrue | ttrue | 1 / 9 | 0 | 1 | 0 | 1
etrue | ttrue | 1 / 10 | 0 | 1 | 0 | 1
etrue | ttrue | 2 / 1 | 2 | 0 | 2 | 0
etrue | ttrue | 2 / 2 | 1 | 0 | 1 | 0
etrue | ttrue | 2 / 3 | 0 | 2 | 0 | 2
etrue | ttrue | 2 / 4 | 0 | 2 | 0 | 2
etrue | ttrue | 2 / 5 | 0 | 2 | 0 | 2
etrue | ttrue | 2 / 6 | 0 | 2 | 0 | 2
etrue | ttrue | 2 / 7 | 0 | 2 | 0 | 2
etrue | ttrue | 2 / 8 | 0 | 2 | 0 | 2
etrue | ttrue | 2 / 9 | 0 | 2 | 0 | 2
etrue | ttrue | 2 / 10 | 0 | 2 | 0 | 2
etrue | ttrue | 3 / 1 | 3 | 0 | 3 | 0
etrue | ttrue | 3 / 2 | 1 | 1 | 1 | 1
etrue | ttrue | 3 / 3 | 1 | 0 | 1 | 0
etrue | ttrue | 3 / 4 | 0 | 3 | 0 | 3
etrue | ttrue | 3 / 5 | 0 | 3 | 0 | 3
etrue | ttrue | 3 / 6 | 0 | 3 | 0 | 3
etrue | ttrue | 3 / 7 | 0 | 3 | 0 | 3
etrue | ttrue | 3 / 8 | 0 | 3 | 0 | 3
etrue | ttrue | 3 / 9 | 0 | 3 | 0 | 3
etrue | ttrue | 3 / 10 | 0 | 3 | 0 | 3
etrue | ttrue | 4 / 1 | 4 | 0 | 4 | 0
etrue | ttrue | 4 / 2 | 2 | 0 | 2 | 0
etrue | ttrue | 4 / 3 | 1 | 1 | 1 | 1
etrue | ttrue | 4 / 4 | 1 | 0 | 1 | 0
etrue | ttrue | 4 / 5 | 0 | 4 | 0 | 4
etrue | ttrue | 4 / 6 | 0 | 4 | 0 | 4
etrue | ttrue | 4 / 7 | 0 | 4 | 0 | 4
etrue | ttrue | 4 / 8 | 0 | 4 | 0 | 4
etrue | ttrue | 4 / 9 | 0 | 4 | 0 | 4
etrue | ttrue | 4 / 10 | 0 | 4 | 0 | 4
etrue | ttrue | 5 / 1 | 5 | 0 | 5 | 0
etrue | ttrue | 5 / 2 | 2 | 1 | 2 | 1
etrue | ttrue | 5 / 3 | 1 | 2 | 1 | 2
etrue | ttrue | 5 / 4 | 1 | 1 | 1 | 1
etrue | ttrue | 5 / 5 | 1 | 0 | 1 | 0
etrue | ttrue | 5 / 6 | 0 | 5 | 0 | 5
etrue | ttrue | 5 / 7 | 0 | 5 | 0 | 5
etrue | ttrue | 5 / 8 | 0 | 5 | 0 | 5
etrue | ttrue | 5 / 9 | 0 | 5 | 0 | 5
etrue | ttrue | 5 / 10 | 0 | 5 | 0 | 5
etrue | ttrue | 6 / 1 | 6 | 0 | 6 | 0
etrue | ttrue | 6 / 2 | 3 | 0 | 3 | 0
etrue | ttrue | 6 / 3 | 2 | 0 | 2 | 0
etrue | ttrue | 6 / 4 | 1 | 2 | 1 | 2
etrue | ttrue | 6 / 5 | 1 | 1 | 1 | 1
etrue | ttrue | 6 / 6 | 1 | 0 | 1 | 0
etrue | ttrue | 6 / 7 | 0 | 6 | 0 | 6
etrue | ttrue | 6 / 8 | 0 | 6 | 0 | 6
etrue | ttrue | 6 / 9 | 0 | 6 | 0 | 6
etrue | ttrue | 6 / 10 | 0 | 6 | 0 | 6
etrue | ttrue | 7 / 1 | 7 | 0 | 7 | 0
etrue | ttrue | 7 / 2 | 3 | 1 | 3 | 1
etrue | ttrue | 7 / 3 | 2 | 1 | 2 | 1
etrue | ttrue | 7 / 4 | 1 | 3 | 1 | 3
etrue | ttrue | 7 / 5 | 1 | 2 | 1 | 2
etrue | ttrue | 7 / 6 | 1 | 1 | 1 | 1
etrue | ttrue | 7 / 7 | 1 | 0 | 1 | 0
etrue | ttrue | 7 / 8 | 0 | 7 | 0 | 7
etrue | ttrue | 7 / 9 | 0 | 7 | 0 | 7
etrue | ttrue | 7 / 10 | 0 | 7 | 0 | 7
